Map,Player,ACS,Agent,Date,Result
Abyss,splash,275,Waylay,2026/1/15,Win
Abyss,slowly,233,Yoru,2026/1/15,Win
Abyss,Scales,237,Veto,2026/1/15,Win
Abyss,sword9,126,Sova,2026/1/15,Win
Abyss,Erv,278,Astra,2026/1/15,Win
Breeze,splash,268,Neon,2026/1/15,Win
Breeze,slowly,225,Yoru,2026/1/15,Win
Breeze,Scales,160,Viper,2026/1/15,Win
Breeze,sword9,132,Sova,2026/1/15,Win
Breeze,Erv,234,Astra,2026/1/15,Win
Bind,splash,,Raze,2026/1/15,Loss
Bind,slowly,,Skye,2026/1/15,Loss
Bind,Scales,,Viper,2026/1/15,Loss
Bind,sword9,,Tejo,2026/1/15,Loss
Bind,Erv,,Brimstone,2026/1/15,Loss
Split,splash,206,Waylay,2026/1/15,Loss
Split,slowly,303,Yoru,2026/1/15,Loss
Split,Scales,137,Viper,2026/1/15,Loss
Split,sword9,101,Fade,2026/1/15,Loss
Split,Erv,249,Omen,2026/1/15,Loss
Split,splash,286,Waylay,2026/1/18,Win
Split,slowly,266,Yoru,2026/1/18,Win
Split,Scales,255,Viper,2026/1/18,Win
Split,sword9,188,Fade,2026/1/18,Win
Split,Erv,184,Omen,2026/1/18,Win
Bind,splash,293,Raze,2026/1/18,Loss
Bind,slowly,123,Skye,2026/1/18,Loss
Bind,Scales,161,Viper,2026/1/18,Loss
Bind,sword9,143,Tejo,2026/1/18,Loss
Bind,Erv,171,Brimstone,2026/1/18,Loss
Split,splash,272,Waylay,2026/1/19,Win
Split,slowly,303,Yoru,2026/1/19,Win
Split,Scales,219,Viper,2026/1/19,Win
Split,sword9,174,Fade,2026/1/19,Win
Split,Erv,177,Omen,2026/1/19,Win
Abyss,splash,193,Waylay,2026/1/19,Win
Abyss,slowly,200,Yoru,2026/1/19,Win
Abyss,Scales,122,Veto,2026/1/19,Win
Abyss,sword9,139,Sova,2026/1/19,Win
Abyss,Erv,233,Astra,2026/1/19,Win
Corrode,splash,237,Waylay,2026/1/19,Win
Corrode,slowly,185,Yoru,2026/1/19,Win
Corrode,Scales,160,Viper,2026/1/19,Win
Corrode,sword9,81,Fade,2026/1/19,Win
Corrode,Erv,186,Omen,2026/1/19,Win
Pearl,splash,353,Neon,2026/1/19,Win
Pearl,slowly,354,Yoru,2026/1/19,Win
Pearl,Scales,160,Killjoy,2026/1/19,Win
Pearl,sword9,161,Sova,2026/1/19,Win
Pearl,Erv,148,Astra,2026/1/19,Win
Haven,splash,388,Neon,2026/1/20,Win
Haven,slowly,175,Killjoy,2026/1/20,Win
Haven,Scales,215,Viper,2026/1/20,Win
Haven,sword9,239,Sova,2026/1/20,Win
Haven,Erv,220,Omen,2026/1/20,Win
Abyss,splash,294,Waylay,2026/1/20,Win
Abyss,slowly,256,Yoru,2026/1/20,Win
Abyss,Scales,247,Veto,2026/1/20,Win
Abyss,sword9,50,Sova,2026/1/20,Win
Abyss,Erv,158,Astra,2026/1/20,Win
Haven,splash,244,Neon,2026/1/23,Loss
Haven,slowly,174,Killjoy,2026/1/23,Loss
Haven,Scales,115,Viper,2026/1/23,Loss
Haven,sword9,203,Sova,2026/1/23,Loss
Haven,Erv,215,Omen,2026/1/23,Loss
Bind,splash,418,Raze,2026/1/23,Win
Bind,slowly,235,Skye,2026/1/23,Win
Bind,Scales,187,Viper,2026/1/23,Win
Bind,sword9,186,Tejo,2026/1/23,Win
Bind,Erv,240,Brimstone,2026/1/23,Win
Corrode,splash,235,Waylay,2026/1/23,Loss
Corrode,slowly,243,Yoru,2026/1/23,Loss
Corrode,Scales,130,Viper,2026/1/23,Loss
